!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9951397326852977, "ud.sym": 0.004860267314702308}
13	{"ud.num": 1.0}
130	{"ud.num": 1.0}
1300	{"ud.num": 1.0}
136	{"ud.num": 1.0}
13e	{"ud.adj": 1.0}
14	{"ud.num": 1.0}
140	{"ud.num": 1.0}
142	{"ud.num": 1.0}
144	{"ud.num": 1.0}
14h	{"ud.num": 1.0}
15	{"ud.num": 1.0}
150	{"ud.num": 1.0}
1514	{"ud.num": 1.0}
1539	{"ud.num": 1.0}
1547	{"ud.num": 1.0}
1560	{"ud.num": 1.0}
159	{"ud.num": 1.0}
15e	{"ud.adj": 1.0}
16	{"ud.num": 1.0}
163	{"ud.num": 1.0}
1642	{"ud.num": 1.0}
1655	{"ud.num": 1.0}
1660	{"ud.num": 1.0}
1662	{"ud.num": 1.0}
1665	{"ud.num": 1.0}
1670	{"ud.num": 1.0}
1675	{"ud.num": 1.0}
1676	{"ud.num": 1.0}
1682	{"ud.num": 1.0}
1686	{"ud.num": 1.0}
169	{"ud.num": 1.0}
17	{"ud.num": 1.0}
170	{"ud.num": 1.0}
1700	{"ud.num": 1.0}
1703	{"ud.num": 1.0}
1707	{"ud.num": 1.0}
1709	{"ud.num": 1.0}
1710	{"ud.num": 1.0}
1715	{"ud.num": 1.0}
1718	{"ud.num": 1.0}
1719	{"ud.num": 1.0}
1720	{"ud.num": 1.0}
1727	{"ud.num": 1.0}
1730	{"ud.num": 1.0}
1746	{"ud.num": 1.0}
1748	{"ud.num": 1.0}
1755	{"ud.num": 1.0}
1765	{"ud.num": 1.0}
1767	{"ud.num": 1.0}
1781	{"ud.num": 1.0}
1782	{"ud.num": 1.0}
1789	{"ud.num": 1.0}
1790	{"ud.num": 1.0}
1791	{"ud.num": 1.0}
1792	{"ud.num": 1.0}
1793	{"ud.num": 1.0}
1794	{"ud.num": 1.0}
1795	{"ud.num": 1.0}
1796	{"ud.num": 1.0}
1798	{"ud.num": 1.0}
1799	{"ud.num": 1.0}
17e	{"ud.adj": 1.0}
18	{"ud.num": 1.0}
180	{"ud.num": 1.0}
1800	{"ud.num": 1.0}
1801	{"ud.num": 1.0}
1802	{"ud.num": 1.0}
1803	{"ud.num": 1.0}
1809	{"ud.num": 1.0}
1810	{"ud.num": 1.0}
1811	{"ud.num": 1.0}
1814	{"ud.num": 1.0}
1815	{"ud.num": 1.0}
1821	{"ud.num": 1.0}
1822	{"ud.num": 1.0}
1823	{"ud.num": 1.0}
1825	{"ud.num": 1.0}
1827	{"ud.num": 1.0}
1828	{"ud.num": 1.0}
1829	{"ud.num": 1.0}
1830	{"ud.num": 1.0}
1832	{"ud.num": 1.0}
1833	{"ud.num": 1.0}
1834	{"ud.num": 1.0}
1838	{"ud.num": 1.0}
1839	{"ud.num": 1.0}
1840	{"ud.num": 1.0}
1842	{"ud.num": 1.0}
1844	{"ud.num": 1.0}
1845	{"ud.num": 1.0}
1846	{"ud.num": 1.0}
1847	{"ud.num": 1.0}
1848	{"ud.num": 1.0}
1850	{"ud.num": 1.0}
1851	{"ud.num": 1.0}
1852	{"ud.num": 1.0}
1853	{"ud.num": 1.0}
1854	{"ud.num": 1.0}
1857	{"ud.num": 1.0}
1858	{"ud.num": 1.0}
1861	{"ud.num": 1.0}
1862	{"ud.num": 1.0}
1863	{"ud.num": 1.0}
1864	{"ud.num": 1.0}
1865	{"ud.num": 1.0}
1866	{"ud.num": 1.0}
1867	{"ud.num": 1.0}
1868	{"ud.num": 1.0}
1869	{"ud.num": 1.0}
1870	{"ud.num": 1.0}
1871	{"ud.num": 1.0}
1872	{"ud.num": 1.0}
1873	{"ud.num": 1.0}
1874	{"ud.num": 1.0}
1875	{"ud.num": 1.0}
1876	{"ud.num": 1.0}
1877	{"ud.num": 1.0}
1879	{"ud.num": 1.0}
1880	{"ud.num": 1.0}
1881	{"ud.num": 1.0}
1882	{"ud.num": 1.0}
1883	{"ud.num": 1.0}
1884	{"ud.num": 1.0}
1885	{"ud.num": 1.0}
1886	{"ud.num": 1.0}
1887	{"ud.num": 1.0}
1889	{"ud.num": 1.0}
1890	{"ud.num": 1.0}
1891	{"ud.num": 1.0}
1892	{"ud.num": 1.0}
1893	{"ud.num": 1.0}
1894	{"ud.num": 1.0}
1895	{"ud.num": 1.0}
1896	{"ud.num": 1.0}
1897	{"ud.num": 1.0}
1898	{"ud.num": 0.875, "ud.propn": 0.125}
1899	{"ud.num": 1.0}
18h	{"ud.num": 1.0}
19	{"ud.num": 1.0}
1900	{"ud.num": 1.0}
1901	{"ud.num": 1.0}
1902	{"ud.num": 1.0}
1904	{"ud.num": 1.0}
1905	{"ud.num": 1.0}
1906	{"ud.num": 1.0}
1907	{"ud.num": 1.0}
1908	{"ud.num": 1.0}
1909	{"ud.num": 1.0}
1910	{"ud.num": 1.0}
1911	{"ud.propn": 0.09090909090909091, "ud.num": 0.9090909090909091}
1912	{"ud.num": 1.0}
1913	{"ud.num": 1.0}
1914	{"ud.num": 1.0}
1915	{"ud.num": 1.0}
1916	{"ud.num": 1.0}
1917	{"ud.num": 1.0}
1918	{"ud.num": 1.0}
1919	{"ud.num": 1.0}
1920	{"ud.num": 1.0}
1921	{"ud.num": 1.0}
1922	{"ud.num": 1.0}
1923	{"ud.num": 1.0}
1924	{"ud.num": 1.0}
1925	{"ud.num": 1.0}
1926	{"ud.num": 1.0}
1927	{"ud.num": 1.0}
1928	{"ud.num": 1.0}
1929	{"ud.num": 1.0}
1930	{"ud.num": 1.0}
1931	{"ud.num": 1.0}
1932	{"ud.num": 1.0}
1933	{"ud.num": 1.0}
1934	{"ud.num": 1.0}
1935	{"ud.num": 1.0}
1936	{"ud.num": 1.0}
1937	{"ud.num": 1.0}
1938	{"ud.num": 1.0}
1939	{"ud.num": 1.0}
1940	{"ud.num": 1.0}
1941	{"ud.num": 1.0}
1942	{"ud.num": 1.0}
1943	{"ud.num": 1.0}
1944	{"ud.num": 1.0}
1945	{"ud.num": 1.0}
1946	{"ud.num": 1.0}
1947	{"ud.num": 1.0}
1948	{"ud.num": 1.0}
1949	{"ud.num": 1.0}
1950	{"ud.num": 1.0}
1951	{"ud.num": 1.0}
1952	{"ud.num": 1.0}
1953	{"ud.num": 1.0}
1954	{"ud.num": 1.0}
1955	{"ud.num": 1.0}
1956	{"ud.num": 1.0}
1957	{"ud.num": 1.0}
1958	{"ud.propn": 0.05555555555555555, "ud.num": 0.9444444444444444}
1959	{"ud.num": 1.0}
1960	{"ud.num": 1.0}
1961	{"ud.num": 1.0}
1962	{"ud.num": 0.9333333333333333, "ud.propn": 0.06666666666666667}
1963	{"ud.num": 1.0}
1964	{"ud.num": 1.0}
1965	{"ud.num": 1.0}
1966	{"ud.num": 1.0}
1967	{"ud.num": 1.0}
1968	{"ud.num": 1.0}
1969	{"ud.num": 1.0}
1970	{"ud.num": 1.0}
1971	{"ud.num": 1.0}
1972	{"ud.num": 1.0}
1973	{"ud.num": 1.0}
1974	{"ud.num": 1.0}
1975	{"ud.num": 1.0}
1976	{"ud.num": 1.0}
1977	{"ud.num": 1.0}
1978	{"ud.num": 1.0}
1979	{"ud.num": 1.0}
1980	{"ud.num": 1.0}
1981	{"ud.num": 1.0}
1982	{"ud.num": 1.0}
1983	{"ud.num": 1.0}
1984	{"ud.num": 1.0}
1985	{"ud.num": 1.0}
1986	{"ud.num": 1.0}
1987	{"ud.num": 1.0}
1988	{"ud.num": 0.8461538461538461, "ud.propn": 0.15384615384615385}
1989	{"ud.num": 1.0}
1990	{"ud.num": 1.0}
1991	{"ud.num": 0.9655172413793104, "ud.propn": 0.034482758620689655}
1992	{"ud.num": 1.0}
1993	{"ud.num": 1.0}
1994	{"ud.num": 1.0}
1995	{"ud.num": 1.0}
1996	{"ud.num": 1.0}
1997	{"ud.num": 0.9714285714285714, "ud.propn": 0.02857142857142857}
1998	{"ud.num": 1.0}
1999	{"ud.num": 1.0}
1er	{"ud.num": 0.6666666666666666, "ud.adj": 0.3333333333333333}
1re	{"ud.adj": 1.0}
2	{"ud.num": 0.9850746268656716, "ud.pron": 0.014925373134328358}
2 000	{"ud.num": 1.0}
2,5	{"ud.num": 1.0}
2-0	{"ud.num": 1.0}
20	{"ud.num": 1.0}
20 000	{"ud.num": 1.0}
200	{"ud.num": 1.0}
200 000	{"ud.num": 1.0}
2000	{"ud.num": 1.0}
2001	{"ud.num": 1.0}
2002	{"ud.num": 1.0}
2003	{"ud.num": 1.0}
2003-2004	{"ud.num": 1.0}
2004	{"ud.num": 1.0}
2004-2005	{"ud.num": 1.0}
2005	{"ud.num": 1.0}
2006	{"ud.num": 1.0}
2006-2007	{"ud.num": 1.0}
2007	{"ud.num": 1.0}
2008	{"ud.num": 1.0}
2009	{"ud.num": 1.0}
2010	{"ud.num": 1.0}
2010-2011	{"ud.num": 1.0}
2011	{"ud.num": 1.0}
2011-2012	{"ud.num": 1.0}
2012	{"ud.num": 1.0}
2013	{"ud.num": 1.0}
2020	{"ud.num": 1.0}
20h	{"ud.num": 1.0}
21	{"ud.num": 1.0}
21,6	{"ud.num": 1.0}
22	{"ud.num": 1.0}
220	{"ud.num": 1.0}
23	{"ud.num": 1.0}
24	{"ud.num": 1.0}
25	{"ud.num": 1.0}
250	{"ud.num": 1.0}
26	{"ud.num": 1.0}
27	{"ud.num": 1.0}
28	{"ud.num": 1.0}
29	{"ud.num": 1.0}
2e	{"ud.adj": 1.0}
3	{"ud.num": 1.0}
3,5	{"ud.num": 1.0}
3,6	{"ud.num": 1.0}
3-0	{"ud.num": 1.0}
3-1	{"ud.num": 1.0}
30	{"ud.num": 1.0}
300	{"ud.num": 1.0}
3000	{"ud.num": 1.0}
31	{"ud.num": 1.0}
310	{"ud.num": 1.0}
32	{"ud.num": 1.0}
320	{"ud.num": 1.0}
322	{"ud.num": 1.0}
33	{"ud.num": 1.0}
34	{"ud.num": 1.0}
35	{"ud.num": 1.0}
350	{"ud.num": 1.0}
35e	{"ud.adj": 1.0}
36	{"ud.num": 1.0}
360	{"ud.num": 1.0}
37	{"ud.num": 1.0}
370	{"ud.num": 1.0}
39	{"ud.num": 1.0}
3d	{"ud.noun": 0.5, "ud.x": 0.3333333333333333, "ud.propn": 0.16666666666666666}
3e	{"ud.adj": 1.0}
4	{"ud.num": 0.990909090909091, "ud.propn": 0.00909090909090909}
4,5	{"ud.num": 1.0}
40	{"ud.num": 1.0}
400	{"ud.num": 1.0}
4000	{"ud.num": 1.0}
42	{"ud.num": 1.0}
42e	{"ud.adj": 1.0}
43	{"ud.num": 1.0}
44	{"ud.num": 1.0}
440	{"ud.num": 1.0}
45	{"ud.num": 1.0}
450	{"ud.num": 1.0}
46	{"ud.num": 1.0}
47	{"ud.num": 1.0}
48	{"ud.num": 1.0}
4e	{"ud.adj": 1.0}
5	{"ud.num": 1.0}
50	{"ud.num": 1.0}
50 000	{"ud.num": 1.0}
500	{"ud.num": 1.0}
51	{"ud.num": 1.0}
52	{"ud.num": 1.0}
53	{"ud.num": 1.0}
54	{"ud.num": 1.0}
55	{"ud.num": 0.8333333333333334, "ud.propn": 0.16666666666666666}
56	{"ud.num": 1.0}
57	{"ud.num": 1.0}
58	{"ud.num": 1.0}
59	{"ud.num": 1.0}
5e	{"ud.adj": 1.0}
6	{"ud.num": 1.0}
60	{"ud.num": 1.0}
600	{"ud.num": 1.0}
62	{"ud.num": 1.0}
63	{"ud.num": 1.0}
65	{"ud.num": 1.0}
68	{"ud.num": 1.0}
681	{"ud.num": 1.0}
69	{"ud.num": 1.0}
6e	{"ud.adj": 1.0}
7	{"ud.num": 0.9896907216494846, "ud.adj": 0.010309278350515464}
70	{"ud.num": 1.0}
700	{"ud.num": 1.0}
71	{"ud.num": 1.0}
72	{"ud.num": 1.0}
73	{"ud.num": 1.0}
74	{"ud.num": 1.0}
75	{"ud.num": 1.0}
750	{"ud.num": 1.0}
77	{"ud.num": 1.0}
79	{"ud.num": 1.0}
7e	{"ud.adj": 1.0}
8	{"ud.num": 1.0}
80	{"ud.num": 1.0}
800	{"ud.num": 0.8571428571428571, "ud.propn": 0.14285714285714285}
82	{"ud.num": 1.0}
83	{"ud.num": 1.0}
84	{"ud.num": 1.0}
85	{"ud.num": 1.0}
86	{"ud.num": 1.0}
87	{"ud.num": 1.0}
88	{"ud.num": 1.0}
8e	{"ud.adj": 1.0}
9	{"ud.num": 1.0}
90	{"ud.num": 1.0}
91	{"ud.num": 1.0}
917	{"ud.propn": 0.3333333333333333, "ud.num": 0.6666666666666666}
92	{"ud.num": 1.0}
93	{"ud.propn": 0.125, "ud.num": 0.875}
94	{"ud.num": 1.0}
95	{"ud.num": 1.0}
:	{"ud.punct": 1.0}
:)	{"ud.sym": 1.0}
;	{"ud.punct": 1.0}
=	{"ud.sym": 1.0}
?	{"ud.punct": 1.0}
[	{"ud.punct": 1.0}
]	{"ud.punct": 1.0}
`	{"ud.punct": 1.0}
a	{"ud.aux": 0.7770731707317073, "ud.verb": 0.15902439024390244, "ud.propn": 0.004878048780487805, "ud.adp": 0.04731707317073171, "ud.noun": 0.0024390243902439024, "ud.x": 0.00878048780487805, "ud.det": 0.0004878048780487805}
a.	{"ud.propn": 0.8333333333333334, "ud.x": 0.16666666666666666}
a1	{"ud.x": 0.3333333333333333, "ud.num": 0.6666666666666666}
aa	{"ud.x": 0.6666666666666666, "ud.propn": 0.3333333333333333}
abandon	{"ud.noun": 1.0}
abandonna	{"ud.verb": 1.0}
abandonnant	{"ud.verb": 1.0}
abandonne	{"ud.verb": 1.0}
abandonner	{"ud.verb": 1.0}
abandonné	{"ud.verb": 1.0}
abandonnée	{"ud.verb": 1.0}
abaris	{"ud.propn": 1.0}
abattu	{"ud.verb": 1.0}
abbas	{"ud.propn": 1.0}
abbatiale	{"ud.adj": 0.5, "ud.noun": 0.5}
abbaye	{"ud.propn": 0.041666666666666664, "ud.noun": 0.9583333333333334}
abbé	{"ud.propn": 0.1111111111111111, "ud.noun": 0.8518518518518519, "ud.num": 0.037037037037037035}
abdelaziz	{"ud.propn": 1.0}
abdullah	{"ud.propn": 1.0}
abeilles	{"ud.propn": 0.25, "ud.noun": 0.75}
abel	{"ud.propn": 1.0}
aberdeen	{"ud.propn": 1.0}
abidjan	{"ud.propn": 1.0}
aboli	{"ud.verb": 1.0}
abolition	{"ud.noun": 1.0}
abondamment	{"ud.adv": 1.0}
abondance	{"ud.noun": 1.0}
abondante	{"ud.adj": 1.0}
abondantes	{"ud.adj": 1.0}
abonnés	{"ud.noun": 1.0}
abord	{"ud.noun": 1.0}
abordable	{"ud.adj": 1.0}
aborde	{"ud.verb": 1.0}
aborder	{"ud.verb": 1.0}
aboutir	{"ud.verb": 1.0}
aboutissent	{"ud.verb": 1.0}
aboutit	{"ud.verb": 1.0}
abri	{"ud.noun": 1.0}
abrite	{"ud.verb": 1.0}
abritent	{"ud.verb": 1.0}
abriter	{"ud.verb": 1.0}
abrité	{"ud.verb": 1.0}
absence	{"ud.noun": 1.0}
absent	{"ud.adj": 1.0}
abside	{"ud.noun": 1.0}
absolument	{"ud.adv": 1.0}
absorption	{"ud.noun": 1.0}
abstraction	{"ud.noun": 1.0}
absurde	{"ud.noun": 0.6, "ud.adj": 0.4}
abus	{"ud.noun": 1.0}
ac	{"ud.propn": 0.7777777777777778, "ud.x": 0.2222222222222222}
academy	{"ud.propn": 0.5, "ud.noun": 0.25, "ud.x": 0.25}
acadiens	{"ud.adj": 0.6666666666666666, "ud.propn": 0.3333333333333333}
académie	{"ud.noun": 1.0}
académique	{"ud.adj": 1.0}
accent	{"ud.noun": 1.0}
accepta	{"ud.verb": 1.0}
acceptable	{"ud.adj": 1.0}
acceptation	{"ud.noun": 1.0}
accepte	{"ud.verb": 1.0}
accepté	{"ud.verb": 1.0}
acceptée	{"ud.verb": 1.0}
accessible	{"ud.adj": 1.0}
acceuil	{"ud.noun": 1.0}
accident	{"ud.noun": 1.0}
accompagnant	{"ud.verb": 1.0}
accompagne	{"ud.verb": 1.0}
accompagnement	{"ud.noun": 1.0}
accompagner	{"ud.verb": 1.0}
accompagné	{"ud.verb": 1.0}
accompagnée	{"ud.verb": 1.0}
accompagnées	{"ud.verb": 1.0}
accompagnés	{"ud.verb": 1.0}
accompli	{"ud.adj": 0.4, "ud.verb": 0.6}
accomplir	{"ud.verb": 1.0}
accord	{"ud.noun": 1.0}
accorde	{"ud.verb": 1.0}
accorder	{"ud.verb": 1.0}
accords	{"ud.noun": 1.0}
accordé	{"ud.verb": 1.0}
accordée	{"ud.verb": 1.0}
accroissement	{"ud.noun": 1.0}
accrue	{"ud.verb": 1.0}
accueil	{"ud.noun": 0.9821428571428571, "ud.verb": 0.017857142857142856}
accueillants	{"ud.adj": 1.0}
accueille	{"ud.verb": 1.0}
accueilli	{"ud.verb": 1.0}
accueillir	{"ud.verb": 1.0}
accueillis	{"ud.verb": 1.0}
accumule	{"ud.verb": 1.0}
accusation	{"ud.noun": 1.0}
accusations	{"ud.noun": 1.0}
accuse	{"ud.verb": 1.0}
accusé	{"ud.verb": 1.0}
accusée	{"ud.verb": 1.0}
accusés	{"ud.verb": 0.75, "ud.noun": 0.25}
accède	{"ud.verb": 1.0}
accès	{"ud.noun": 1.0}
accéder	{"ud.verb": 1.0}
accélération	{"ud.noun": 1.0}
accélérer	{"ud.verb": 1.0}
achat	{"ud.noun": 1.0}
achats	{"ud.noun": 1.0}
acheter	{"ud.verb": 1.0}
acheteur	{"ud.noun": 1.0}
acheté	{"ud.verb": 1.0}
achever	{"ud.verb": 1.0}
achevé	{"ud.verb": 1.0}
achevée	{"ud.verb": 1.0}
achille	{"ud.propn": 1.0}
achète	{"ud.verb": 1.0}
achève	{"ud.verb": 1.0}
acide	{"ud.noun": 0.75, "ud.adj": 0.25}
acides	{"ud.noun": 1.0}
acier	{"ud.noun": 1.0}
acoustique	{"ud.noun": 0.4, "ud.adj": 0.6}
acquiert	{"ud.verb": 1.0}
acquis	{"ud.verb": 0.9166666666666666, "ud.noun": 0.08333333333333333}
acquisition	{"ud.noun": 1.0}
acquérir	{"ud.verb": 1.0}
acta	{"ud.propn": 1.0}
acte	{"ud.noun": 0.9333333333333333, "ud.propn": 0.06666666666666667}
actes	{"ud.noun": 0.9285714285714286, "ud.propn": 0.07142857142857142}
acteur	{"ud.noun": 1.0}
acteurs	{"ud.noun": 1.0}
actif	{"ud.adj": 0.9166666666666666, "ud.noun": 0.08333333333333333}
actifs	{"ud.adj": 0.75, "ud.noun": 0.25}
action	{"ud.noun": 0.9444444444444444, "ud.propn": 0.05555555555555555}
actionnaire	{"ud.noun": 1.0}
actionnaires	{"ud.noun": 1.0}
actions	{"ud.noun": 1.0}
active	{"ud.propn": 0.07692307692307693, "ud.adj": 0.8461538461538461, "ud.noun": 0.07692307692307693}
activité	{"ud.noun": 1.0}
activités	{"ud.noun": 1.0}
acton	{"ud.propn": 0.6666666666666666, "ud.x": 0.3333333333333333}
actrice	{"ud.noun": 1.0}
actualité	{"ud.noun": 1.0}
actuel	{"ud.adj": 1.0}
actuelle	{"ud.adj": 1.0}
actuellement	{"ud.adv": 1.0}
actuelles	{"ud.adj": 1.0}
actuels	{"ud.adj": 1.0}
ad	{"ud.x": 0.4, "ud.adp": 0.4, "ud.propn": 0.2}
adam	{"ud.propn": 1.0}
adams	{"ud.propn": 1.0}
adaptation	{"ud.noun": 1.0}
adaptations	{"ud.noun": 1.0}
adapte	{"ud.verb": 1.0}
adapter	{"ud.verb": 1.0}
adapté	{"ud.verb": 0.75, "ud.adj": 0.25}
adaptée	{"ud.verb": 0.5, "ud.adj": 0.5}
adaptées	{"ud.verb": 1.0}
adaptés	{"ud.verb": 0.8571428571428571, "ud.adj": 0.14285714285714285}
addiction	{"ud.noun": 1.0}
addition	{"ud.noun": 1.0}
adhémar	{"ud.propn": 1.0}
adhésion	{"ud.noun": 1.0}
adjacentes	{"ud.adj": 1.0}
adjoint	{"ud.noun": 0.6, "ud.adj": 0.4}
admet	{"ud.verb": 1.0}
admettre	{"ud.verb": 1.0}
administrateur	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
administrateurs	{"ud.noun": 1.0}
administratif	{"ud.adj": 1.0}
administratifs	{"ud.adj": 1.0}
administration	{"ud.noun": 1.0}
administrative	{"ud.adj": 1.0}
administratives	{"ud.adj": 1.0}
administré	{"ud.verb": 1.0}
admis	{"ud.verb": 1.0}
admission	{"ud.noun": 1.0}
adn	{"ud.noun": 1.0}
adolescence	{"ud.noun": 1.0}
adolescente	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
adolescents	{"ud.noun": 1.0}
adopta	{"ud.verb": 1.0}
adopter	{"ud.verb": 1.0}
adoption	{"ud.noun": 1.0}
adopté	{"ud.verb": 1.0}
adoptée	{"ud.verb": 1.0}
adore	{"ud.verb": 1.0}
adorent	{"ud.verb": 1.0}
adoré	{"ud.verb": 1.0}
adresse	{"ud.verb": 0.13636363636363635, "ud.noun": 0.8636363636363636}
adrian	{"ud.propn": 1.0}
adrien	{"ud.propn": 1.0}
adsl	{"ud.propn": 0.75, "ud.noun": 0.25}
adulte	{"ud.noun": 0.42857142857142855, "ud.adj": 0.5714285714285714}
adultes	{"ud.noun": 1.0}
advance	{"ud.propn": 1.0}
adventure	{"ud.x": 0.3333333333333333, "ud.propn": 0.6666666666666666}
adversaire	{"ud.noun": 1.0}
adversaires	{"ud.noun": 1.0}
adverse	{"ud.adj": 1.0}
adverses	{"ud.adj": 1.0}
adéquate	{"ud.adj": 1.0}
aero	{"ud.propn": 1.0}
affaiblie	{"ud.verb": 1.0}
affaire	{"ud.noun": 0.9534883720930233, "ud.propn": 0.046511627906976744}
affaires	{"ud.noun": 1.0}
affecte	{"ud.verb": 1.0}
affection	{"ud.noun": 1.0}
affecté	{"ud.verb": 1.0}
affiche	{"ud.verb": 0.5833333333333334, "ud.noun": 0.4166666666666667}
affiliée	{"ud.verb": 1.0}
affirmant	{"ud.verb": 1.0}
affirme	{"ud.verb": 1.0}
affirment	{"ud.verb": 1.0}
affirmer	{"ud.verb": 1.0}
affirmé	{"ud.verb": 1.0}
affligé	{"ud.verb": 1.0}
affluence	{"ud.noun": 1.0}
affluent	{"ud.noun": 0.8888888888888888, "ud.verb": 0.1111111111111111}
affluents	{"ud.noun": 1.0}
affrontement	{"ud.noun": 1.0}
affrontements	{"ud.noun": 1.0}
affrontent	{"ud.verb": 1.0}
affronter	{"ud.verb": 1.0}
afghanistan	{"ud.propn": 1.0}
afin	{"ud.adv": 1.0}
afp	{"ud.propn": 1.0}
africain	{"ud.adj": 1.0}
africaine	{"ud.adj": 1.0}
africaines	{"ud.adj": 1.0}
africains	{"ud.adj": 0.8571428571428571, "ud.noun": 0.14285714285714285}
afrique	{"ud.propn": 1.0}
agen	{"ud.propn": 1.0}
agence	{"ud.noun": 0.972972972972973, "ud.propn": 0.02702702702702703}
agences	{"ud.noun": 1.0}
agent	{"ud.noun": 1.0}
agents	{"ud.noun": 1.0}
agglomération	{"ud.noun": 1.0}
aggraver	{"ud.verb": 1.0}
agir	{"ud.verb": 1.0}
agissait	{"ud.verb": 1.0}
agissant	{"ud.verb": 1.0}
agisse	{"ud.verb": 1.0}
agit	{"ud.verb": 1.0}
agitation	{"ud.noun": 1.0}
agneau	{"ud.noun": 1.0}
agression	{"ud.noun": 1.0}
agricole	{"ud.adj": 1.0}
agricoles	{"ud.adj": 1.0}
agriculteurs	{"ud.noun": 0.8571428571428571, "ud.adj": 0.14285714285714285}
agriculture	{"ud.noun": 0.9444444444444444, "ud.propn": 0.05555555555555555}
agroalimentaire	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
agréable	{"ud.adj": 1.0}
agréablement	{"ud.adv": 1.0}
agréables	{"ud.adj": 1.0}
ahmed	{"ud.propn": 1.0}
ai	{"ud.aux": 0.9102564102564102, "ud.verb": 0.08333333333333333, "ud.propn": 0.00641025641025641}
aide	{"ud.noun": 0.9245283018867925, "ud.verb": 0.07547169811320754}
aider	{"ud.verb": 1.0}
aidé	{"ud.verb": 1.0}
aidés	{"ud.verb": 1.0}
aient	{"ud.verb": 0.3333333333333333, "ud.aux": 0.6666666666666666}
aile	{"ud.noun": 0.9444444444444444, "ud.propn": 0.05555555555555555}
ailes	{"ud.noun": 1.0}
ailier	{"ud.noun": 1.0}
ailleurs	{"ud.adv": 0.9901960784313726, "ud.noun": 0.00980392156862745}
aimait	{"ud.verb": 1.0}
aimant	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
aime	{"ud.verb": 1.0}
aiment	{"ud.verb": 1.0}
aimez	{"ud.verb": 1.0}
aimé	{"ud.verb": 0.9, "ud.propn": 0.1}
ain	{"ud.propn": 1.0}
ainsi	{"ud.adv": 0.996969696969697, "ud.sconj": 0.0030303030303030303}
air	{"ud.noun": 0.5576923076923077, "ud.propn": 0.40384615384615385, "ud.x": 0.038461538461538464}
aircraft	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
aire	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
aires	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
airlines	{"ud.propn": 1.0}
airs	{"ud.noun": 1.0}
aisne	{"ud.propn": 1.0}
